artist_name,artist_id,album_name,album_url,total_tracks,release_date
fakemink,0qc4BFxcwRFZfevTck4fOi,Terrified .,https://open.spotify.com/album/1Uwd64LlYKeBEVpZ4civSQ,19,2026-05-22
fakemink,0qc4BFxcwRFZfevTck4fOi,London's Saviour,https://open.spotify.com/album/5SknXhmjHijD0uU1Pm2HBr,9,2023-12-22
